EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 3,Erin Blanchfield,0,26 of 55,47%,49 of 83,0 of 6,0%,0,0,2:45,18 of 45,7 of 9,1 of 1,18 of 44,8 of 11,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 1,Taila Santos,0,25 of 71,35%,31 of 80,0 of 0,---,0,0,0:06,13 of 56,5 of 8,7 of 7,21 of 63,4 of 8,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 2,Taila Santos,0,11 of 24,45%,32 of 48,0 of 1,0%,0,0,0:03,5 of 16,2 of 4,4 of 4,8 of 19,3 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 3,Taila Santos,0,19 of 56,33%,33 of 74,0 of 2,0%,0,0,0:00,10 of 46,2 of 3,7 of 7,17 of 51,2 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Round 1,Junior Tafa,1,8 of 13,61%,11 of 16,0 of 0,---,0,0,0:04,7 of 12,1 of 1,0 of 0,4 of 7,4 of 6,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Round 1,Parker Porter,0,2 of 9,22%,3 of 10,0 of 1,0%,0,0,0:17,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Round 1,Waldo Cortes-Acosta,1,15 of 45,33%,16 of 46,0 of 0,---,0,0,0:00,9 of 36,3 of 5,3 of 4,12 of 42,3 of 3,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Round 1,Lukasz Brzeski,0,14 of 22,63%,15 of 23,0 of 0,---,0,0,0:00,1 of 7,3 of 3,10 of 12,14 of 22,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Round 1,Toshiomi Kazama,0,15 of 31,48%,15 of 31,0 of 2,0%,0,0,0:00,8 of 24,3 of 3,4 of 4,15 of 30,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Round 1,Garrett Armfield,1,45 of 77,58%,45 of 77,0 of 0,---,0,0,0:26,36 of 67,9 of 10,0 of 0,40 of 68,0 of 0,5 of 9
UFC Fight Night: Holloway vs. The Korean Zombie,Chidi Njokuani vs. Michal Oleksiejczuk,Round 1,Chidi Njokuani,0,29 of 57,50%,30 of 58,0 of 2,0%,0,0,0:09,7 of 21,18 of 32,4 of 4,19 of 37,10 of 20,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Chidi Njokuani vs. Michal Oleksiejczuk,Round 1,Michal Oleksiejczuk,0,44 of 72,61%,54 of 85,1 of 1,100%,0,0,1:36,31 of 59,12 of 12,1 of 1,17 of 36,4 of 5,23 of 31
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 1,Song Kenan,0,16 of 34,47%,17 of 36,0 of 0,---,0,0,0:00,7 of 22,6 of 8,3 of 4,15 of 31,1 of 3,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 2,Song Kenan,0,24 of 50,48%,26 of 52,0 of 0,---,0,0,0:23,20 of 42,3 of 6,1 of 2,23 of 49,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 3,Song Kenan,1,35 of 65,53%,42 of 73,0 of 0,---,0,0,0:17,27 of 54,7 of 10,1 of 1,30 of 60,4 of 4,1 of 1
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 1,Rolando Bedoya,0,32 of 77,41%,32 of 77,0 of 1,0%,0,0,0:16,11 of 40,4 of 16,17 of 21,30 of 72,2 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 2,Rolando Bedoya,0,39 of 85,45%,39 of 86,0 of 1,0%,0,0,0:13,10 of 49,14 of 19,15 of 17,36 of 81,3 of 4,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Round 3,Rolando Bedoya,0,41 of 96,42%,41 of 97,0 of 2,0%,0,0,0:04,15 of 57,9 of 14,17 of 25,38 of 92,3 of 4,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Billy Goff vs. Yusaku Kinoshita,Round 1,Billy Goff,1,40 of 85,47%,43 of 89,0 of 1,0%,0,0,0:05,13 of 47,13 of 20,14 of 18,36 of 78,2 of 2,2 of 5
UFC Fight Night: Holloway vs. The Korean Zombie,Billy Goff vs. Yusaku Kinoshita,Round 1,Yusaku Kinoshita,0,17 of 53,32%,17 of 53,0 of 0,---,0,0,0:00,15 of 48,2 of 5,0 of 0,17 of 52,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Liang Na vs. JJ Aldrich,Round 1,Liang Na,0,7 of 28,25%,21 of 45,2 of 3,66%,0,0,0:56,6 of 21,1 of 5,0 of 2,5 of 23,2 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Liang Na vs. JJ Aldrich,Round 2,Liang Na,0,4 of 13,30%,6 of 16,1 of 1,100%,0,0,0:42,1 of 9,2 of 3,1 of 1,4 of 13,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Liang Na vs. JJ Aldrich,Round 1,JJ Aldrich,0,11 of 20,55%,18 of 29,0 of 0,---,0,0,1:41,10 of 18,1 of 2,0 of 0,7 of 13,1 of 2,3 of 5
UFC Fight Night: Holloway vs. The Korean Zombie,Liang Na vs. JJ Aldrich,Round 2,JJ Aldrich,0,36 of 45,80%,50 of 60,0 of 0,---,0,1,3:30,36 of 45,0 of 0,0 of 0,2 of 5,0 of 0,34 of 40
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 1,SeungWoo Choi,0,26 of 52,50%,29 of 58,0 of 0,---,0,0,0:55,10 of 32,4 of 6,12 of 14,24 of 49,2 of 3,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 2,SeungWoo Choi,0,9 of 19,47%,28 of 41,1 of 1,100%,0,0,2:34,5 of 13,1 of 2,3 of 4,6 of 14,0 of 0,3 of 5
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 3,SeungWoo Choi,1,21 of 44,47%,51 of 80,0 of 0,---,0,0,1:52,7 of 24,3 of 7,11 of 13,21 of 44,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 1,Jarno Errens,0,18 of 41,43%,18 of 41,0 of 2,0%,0,0,0:17,9 of 25,3 of 6,6 of 10,18 of 39,0 of 2,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 2,Jarno Errens,1,4 of 8,50%,14 of 19,0 of 1,0%,0,0,1:17,2 of 6,0 of 0,2 of 2,4 of 7,0 of 0,0 of 1
UFC Fight Night: Holloway vs. The Korean Zombie,SeungWoo Choi vs. Jarno Errens,Round 3,Jarno Errens,0,8 of 27,29%,8 of 28,0 of 1,0%,0,0,0:00,2 of 16,3 of 8,3 of 3,8 of 27,0 of 0,0 of 0
